sorting;temperature;value;condition
cell_vol;t_15;246.8;umax
cell_vol;t_15;245.4;umax
cell_vol;t_15;235.2;umax
cell_vol;t_15;252;umax
cell_vol;t_20;226.1;umax
cell_vol;t_20;212.8;umax
cell_vol;t_20;223;umax
cell_vol;t_20;246.3;umax
cell_vol;t_30;175.2;umax
cell_vol;t_30;202.9;umax
cell_vol;t_30;250.7;umax
cell_vol;t_30;196.7;umax
cell_vol;t_15;215.7;umax.2
cell_vol;t_15;205.7;umax.2
cell_vol;t_15;214;umax.2
cell_vol;t_15;220.2;umax.2
cell_vol;t_20;242.5;umax.2
cell_vol;t_20;241.7;umax.2
cell_vol;t_20;235;umax.2
cell_vol;t_20;244.8;umax.2
cell_vol;t_30;213.9;umax.2
cell_vol;t_30;195.7;umax.2
cell_vol;t_30;240.5;umax.2
cell_vol;t_30;201.4;umax.2
C;t_15;13.59;umax
C;t_15;13.96;umax
C;t_15;9.85;umax
C;t_15;12.51;umax
C;t_20;10.47;umax
C;t_20;10.19;umax
C;t_20;11.44;umax
C;t_20;10.36;umax
C;t_30;19.69;umax
C;t_30;18.63;umax
C;t_30;17.96;umax
C;t_30;22.8;umax
C;t_15;14.49;umax.2
C;t_15;14.11;umax.2
C;t_15;11.81;umax.2
C;t_15;18.71;umax.2
C;t_20;11.24;umax.2
C;t_20;9.19;umax.2
C;t_20;11.83;umax.2
C;t_20;15.62;umax.2
C;t_30;19.9;umax.2
C;t_30;19.49;umax.2
C;t_30;20.25;umax.2
C;t_30;18.45;umax.2
N;t_15;1.99;umax
N;t_15;2.14;umax
N;t_15;1.36;umax
N;t_15;1.98;umax
N;t_20;1.69;umax
N;t_20;1.84;umax
N;t_20;2.16;umax
N;t_20;1.87;umax
N;t_30;3.63;umax
N;t_30;3.61;umax
N;t_30;3.33;umax
N;t_30;4.14;umax
N;t_15;2.01;umax.2
N;t_15;1.88;umax.2
N;t_15;1.47;umax.2
N;t_15;2.47;umax.2
N;t_20;2.16;umax.2
N;t_20;1.6;umax.2
N;t_20;2;umax.2
N;t_20;2.88;umax.2
N;t_30;3.91;umax.2
N;t_30;3.76;umax.2
N;t_30;4.03;umax.2
N;t_30;3.79;umax.2
Si;t_15;1.96;umax
Si;t_15;2.4;umax
Si;t_15;2.3;umax
Si;t_15;2.28;umax
Si;t_20;2.53;umax
Si;t_20;3.37;umax
Si;t_20;2.61;umax
Si;t_20;2.08;umax
Si;t_30;3.34;umax
Si;t_30;2;umax
Si;t_30;2.64;umax
Si;t_30;3.02;umax
Si;t_15;2.28;umax.2
Si;t_15;1.69;umax.2
Si;t_15;1.68;umax.2
Si;t_15;1.81;umax.2
Si;t_20;2.56;umax.2
Si;t_20;3.07;umax.2
